CRUK0001	1,2,3,4,5,6,7
CRUK0002	1,2,3,4,5,6,7,8
CRUK0003	1,2,3,4,5,6,7,8
CRUK0004	1,2,3,4,5,6,8
CRUK0005	1,2,3,4,5,7
CRUK0006	1,2,3
CRUK0007	1,2,3
CRUK0008	1,2,3,4,5
CRUK0009	1,2,3,4,5,7,9,12
CRUK0010	1,2,3,4
CRUK0011	1,2,3,4,5,7,8,9
CRUK0012	1,2,3,4,5
CRUK0013	1,2,3,4,5,6,7,8,9
CRUK0014	1,2,3
CRUK0015	1,2,3,4
CRUK0016	1,2,3,4,5,6,8,12
CRUK0017	1,2,3,4,5,6,7,12
CRUK0018	1,2,3,4,5,6,7,8
CRUK0019	1,2,3
CRUK0020	1,2,4,5
CRUK0021	1,2,3,4
CRUK0022	1,2,3,4,5
CRUK0023	1,2,3,4,5,6,7,8,9,10
CRUK0024	1,2,3,4,5,6,7,9
CRUK0025	1,2,3,4,5,6,7
CRUK0026	1,2,3
CRUK0027	1,2,3,5,6
CRUK0028	1,2,3,4,5
CRUK0029	1,2,3,4,5,6,7,8,11
CRUK0030	1,2,3,4
CRUK0031	1,2,3,5,6,7,8
CRUK0032	1,2,3,4,5,6,7,8,9,10,11,12,13
CRUK0033	1,2
CRUK0034	1,2,3,4,5,6,7
CRUK0035	1,2,3,4,5
CRUK0036	1,2,3,4,5,6,7
CRUK0037	1,2,3,4,5,6,7,8,9,10
CRUK0038	1,2,3,4
CRUK0039	1,2,3,4,6,7,8,9
CRUK0040	1,2
CRUK0041	1,2,3
CRUK0043	1,2
CRUK0044	1,2,3
CRUK0045	1,2,3
CRUK0046	1,2,3,4,5
CRUK0047	1,2,3
CRUK0048	1,2,3,4
CRUK0049	1,2,3,4,5,6
CRUK0050	1,2,3
CRUK0051	1,2,3,4,5
CRUK0052	1,2,3,4,5
CRUK0054	1,2,3
CRUK0055	1,2
CRUK0056	1,2,3,4
CRUK0057	1,2,3,4
CRUK0061	1,2
CRUK0062	1,2,3,4,5,6,7,8,9,10,11,12,14,15,18
CRUK0063	1,2,3,4,5,6,7,8
CRUK0064	1,2,3,4,5
CRUK0065	1,2,3,4,6,7,8,9,10,11,12,13,15,17
CRUK0066	1,2,3,4,5,7,8,9
CRUK0067	1,2,3,4,5
CRUK0068	1,2,3,4,5,6,7,8,9,10
CRUK0069	1,2,3,4,5,7,8,9,10,11,12,14
CRUK0070	1,2,3,4,5,6,7,8,9,10
CRUK0071	1,2,3,4,5,6,7,8,9,11
CRUK0072	1,2,3,4,5,6
CRUK0073	1,2,3
CRUK0074	1,2,3
CRUK0075	1,2,3
CRUK0076	1,2,3,4,5,6,7,8,9
CRUK0077	1,2,3,4,5,6,9
CRUK0078	1,2,3,4,5,6
CRUK0079	1,2,3,4,5,6
CRUK0080	1,2,3,4
CRUK0081	1,2,3
CRUK0082	1,2,3,4,5,6
CRUK0083	1,2,3,4,5,6,8,9
CRUK0084	1,2,3,4,5,6
CRUK0085	1,2,3,4,5,6,7,8,9,10
CRUK0086	1,2,3
CRUK0087	1,2,3
CRUK0088	1,2,3
CRUK0090	1,3
CRUK0094	1,2,3,4,5,6
CRUK0095	1,2,3,4
CRUK0096	1,2,3,4,5
CRUK0097	1,2,3,4
CRUK0098	1,2,3,4
CRUK0099	1,2,3,4,5
CRUK0100	1,2,3,4,5,6,7,8
