# 11 out of 11 mutations
171 #trees
10 #edges, tree 1
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v10
v0 v7
v0 v6
v0 v3
v0 v2
10 #edges, tree 2
v3 v9
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v10
v0 v7
v0 v3
v0 v2
10 #edges, tree 3
v6 v9
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v10
v0 v7
v0 v3
v0 v2
10 #edges, tree 4
v9 v10
v3 v9
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v3
v0 v2
10 #edges, tree 5
v9 v10
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v6
v0 v3
v0 v2
10 #edges, tree 6
v3 v10
v3 v9
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v3
v0 v2
10 #edges, tree 7
v6 v10
v3 v9
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v3
v0 v2
10 #edges, tree 8
v3 v10
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v6
v0 v3
v0 v2
10 #edges, tree 9
v6 v10
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v6
v0 v3
v0 v2
10 #edges, tree 10
v6 v10
v6 v9
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v3
v0 v2
10 #edges, tree 11
v6 v9
v3 v10
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v3
v0 v2
10 #edges, tree 12
v9 v10
v6 v9
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v7
v0 v3
v0 v2
10 #edges, tree 13
v3 v10
v3 v9
v3 v7
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v3
v0 v2
10 #edges, tree 14
v3 v10
v3 v9
v3 v7
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 15
v3 v9
v3 v7
v3 v4
v2 v8
v2 v5
v1 v0
v0 v10
v0 v6
v0 v3
v0 v2
10 #edges, tree 16
v6 v10
v3 v9
v3 v7
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 17
v9 v10
v3 v9
v3 v7
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 18
v9 v10
v3 v9
v3 v7
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v3
v0 v2
10 #edges, tree 19
v3 v9
v3 v7
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v10
v0 v3
v0 v2
10 #edges, tree 20
v6 v10
v3 v9
v3 v7
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v3
v0 v2
10 #edges, tree 21
v6 v9
v3 v7
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v10
v0 v3
v0 v2
10 #edges, tree 22
v6 v10
v6 v9
v3 v7
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v3
v0 v2
10 #edges, tree 23
v6 v9
v3 v10
v3 v7
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v3
v0 v2
10 #edges, tree 24
v9 v10
v6 v9
v3 v7
v3 v6
v3 v4
v2 v8
v2 v5
v1 v0
v0 v3
v0 v2
10 #edges, tree 25
v6 v10
v3 v9
v3 v4
v2 v8
v2 v7
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 26
v9 v7
v6 v10
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 27
v8 v7
v6 v10
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 28
v9 v7
v3 v10
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 29
v3 v10
v3 v9
v3 v4
v2 v8
v2 v7
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 30
v8 v7
v3 v10
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 31
v3 v9
v3 v4
v2 v8
v2 v7
v2 v5
v1 v0
v0 v10
v0 v6
v0 v3
v0 v2
10 #edges, tree 32
v8 v7
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v10
v0 v6
v0 v3
v0 v2
10 #edges, tree 33
v9 v7
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v10
v0 v6
v0 v3
v0 v2
10 #edges, tree 34
v9 v10
v3 v9
v3 v4
v2 v8
v2 v7
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 35
v9 v10
v9 v7
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 36
v9 v10
v8 v7
v3 v9
v3 v4
v2 v8
v2 v5
v1 v0
v0 v6
v0 v3
v0 v2
10 #edges, tree 37
v6 v10
v3 v9
v3 v6
v3 v4
v2 v8
v2 v7
v2 v5
v1 v0
v0 v3
v0 v2
10 #edges, tree 38
v3 v10
v3 v9
v3 v6
v3 v4
v2 v8
v2 v7
v2 v5
v1 v0
v0 v3
v0 v2
10 #edges, tree 39
v3 v9
v3 v6
v3 v4
v2 v8
v2 v7
v2 v5
v1 v0
v0 v10
v0 v3
v0 v2
10 #edges, tree 40
v9 v10
